日期,day_of_week,day_of_month,month,quarter,is_weekend,is_month_start,is_month_end,equip_capacity_utilization_mean,equip_capacity_utilization_std,equip_capacity_utilization_max,equip_capacity_utilization_min,equip_efficiency_gap_mean,equip_efficiency_gap_std,equip_efficiency_gap_max,equip_availability_ratio_mean,equip_availability_ratio_min,equip_is_downtime_sum,equip_output_per_hour_mean,equip_efficiency_trend_3d_mean,area_AREA_A_util,area_AREA_B_util,buffer_turnover,inventory_coverage,safety_stock_ratio,near_overflow,near_empty,buffer_depletion_rate,fill_to_pack_ratio,bottleneck_score_fill,bottleneck_score_ster,next_downtime,next_near_empty,is_bottleneck_fill,is_bottleneck_ster,production_gap,filling_packaging_balance,bottleneck_severity,buffer_risk_score
2025-06-08,6.0,8.0,6.0,2.0,1,0,0,0.271974,0.243571,1.081246,0.199571,0.61372,0.238138,0.772479,0.8625,0.0,25.0,10331.272464,0.316285,0.20231965598739496,0.4199899874281609,0.0,720.0,0.30729166653344425,0.0,0.0,61.16666666666667,1.1444646697277183,1.0010265132757392,0.8728749482572434,1.0,0.0,0.0,0.0,-0.5780259999999999,1.1444646697277183,1.0010265132757392,0.6927083334665558
2025-06-09,0.0,9.0,6.0,2.0,0,0,0,0.549839,0.592828,2.499163,0.297035,0.32237,0.567582,0.500238,0.825,0.0,25.0,21045.306061,0.155023,0.40973216474089635,0.8475668103448276,0.8046395622325792,1.3182461103253182,0.4058449072354909,0.0,0.0,129.33333333333334,0.736803668240293,1.35721365555556,1.355535715763645,1.0,1.0,1.0,1.0,-0.300161,0.736803668240293,1.35721365555556,0.5941550927645092
2025-06-10,1.0,10.0,6.0,2.0,0,0,0,0.892313,0.81724,3.606706,0.634472,-0.055722,0.800015,0.287579,0.9,0.0,25.0,33494.305556,0.077911,0.663975905987395,1.3775307112068964,0.5986696230598669,1.6666666666666667,0.20833333323688272,0.0,0.0,-120.0,1.0904646789953074,1.0013021520612342,0.9158476753718602,1.0,1.0,0.0,0.0,0.042313000000000045,1.0904646789953074,1.0013021520612342,0.7916666667631173
2025-06-11,2.0,11.0,6.0,2.0,0,0,0,0.920039,0.914954,3.947852,0.57647,-0.078873,0.891271,0.222151,0.8625,0.0,25.0,34928.594203,-0.230864,0.6850856967787115,1.4193158674568966,0.5986696230598669,1.6666666666666667,0.20833333323688272,0.0,0.0,-120.0,0.9052401211991655,1.1046792741298612,1.1033378499213333,1.0,0.0,1.0,1.0,0.07003900000000007,0.9052401211991655,1.1046792741298612,0.7916666667631173
2025-06-12,3.0,12.0,6.0,2.0,0,0,0,1.035285,0.986441,4.307313,0.694545,-0.2065,0.965041,0.153163,0.825,0.0,25.0,39887.830303,-0.17629,0.7706016719187675,1.5977371587643678,0.5986696230598669,1.6666666666666667,0.20833333323688272,0.0,0.0,-120.0,0.999653504198867,1.0011973004344303,0.9991503327739709,1.0,0.0,0.0,0.0,0.18528500000000003,0.999653504198867,1.0011973004344303,0.7916666667631173
2025-06-13,4.0,13.0,6.0,2.0,0,0,0,1.011242,1.001663,4.326827,0.637802,-0.177067,0.97771,0.149385,0.7875,0.0,25.0,39715.714286,-0.040448,0.752975905987395,1.5600581896551726,0.5986696230598669,1.6666666666666667,0.20833333323688272,0.0,0.0,-120.0,0.9138085889604265,1.0943210778278993,1.0929702767041602,1.0,0.0,0.0,0.0,0.161242,0.9138085889604265,1.0943210778278993,0.7916666667631173
2025-06-14,5.0,14.0,6.0,2.0,1,0,0,1.094926,1.081769,4.676228,0.693479,-0.267113,1.057539,0.082263,0.9375,0.9375,25.0,40573.146667,-0.062747,0.8152836572128851,1.6891664870689653,0.0,0.0,0.0,0.0,1.0,-60.0,0.9192916979914465,1.08779400726069,1.0863939379143857,1.0,1.0,0.0,0.0,0.2449260000000001,0.9192916979914465,1.08779400726069,1.0
2025-06-15,6.0,15.0,6.0,2.0,1,0,0,0.407707,0.248733,0.713696,0.134578,0.439935,0.366889,0.842978,0.9,0.0,25.0,15873.294444,0.215478,0.30134259016106446,0.6337326239224138,0.0,180.0,0.07291666663652585,0.0,1.0,-180.0,5.272550559461613,1.0013500727239997,0.18940581721308894,1.0,0.0,0.0,0.0,-0.442293,5.272550559461613,1.0013500727239997,0.9270833333634741
2025-06-16,0.0,16.0,6.0,2.0,0,0,0,0.707252,0.769576,3.235585,0.37495,0.155334,0.742758,0.38006,0.8625,0.0,25.0,26836.373913,0.1108,0.5270843837535013,1.0901086117097702,0.9986154089102619,1.0,0.3038773146868503,0.0,0.0,-80.16666666666666,0.7183686966623763,1.3920428390678106,1.3902895179248957,1.0,1.0,1.0,1.0,-0.14274799999999999,0.7183686966623763,1.3920428390678106,0.6961226853131497
2025-06-17,1.0,17.0,6.0,2.0,0,0,0,0.900862,1.032749,4.275986,0.425095,-0.046119,1.003756,0.319885,0.8625,0.0,25.0,27980.808696,0.073665,0.6717068233543417,1.387818112428161,0.0,0.0,0.0,0.0,1.0,0.0,0.6162893131623788,1.6226145393762035,1.6205932812817274,1.0,0.0,1.0,1.0,0.050862000000000074,0.6162893131623788,1.6226145393762035,1.0
